3.8434 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
98.2759 	EXP 	New trial (rep=44, index=0): None
98.2789 	DATA 	Keypress: up
98.2854 	EXP 	fixation: autoDraw = False
98.2854 	EXP 	grating: autoDraw = False
98.2854 	EXP 	grating: ori = 0.0
98.2854 	EXP 	fixation: autoDraw = True
99.2852 	EXP 	fixation: autoDraw = False
99.2852 	EXP 	grating: autoDraw = True
99.5851 	EXP 	grating: autoDraw = False
99.9088 	EXP 	New trial (rep=45, index=0): None
99.9117 	DATA 	Keypress: down
99.9183 	EXP 	fixation: autoDraw = False
99.9183 	EXP 	grating: autoDraw = False
99.9183 	EXP 	grating: ori = 0.0
99.9183 	EXP 	fixation: autoDraw = True
100.9183 	EXP 	fixation: autoDraw = False
100.9183 	EXP 	grating: autoDraw = True
101.2181 	EXP 	grating: autoDraw = False
101.5100 	EXP 	New trial (rep=46, index=0): None
101.5138 	DATA 	Keypress: up
101.5181 	EXP 	fixation: autoDraw = False
101.5181 	EXP 	grating: autoDraw = False
101.5181 	EXP 	grating: ori = 0.0
101.5181 	EXP 	fixation: autoDraw = True
102.5177 	EXP 	fixation: autoDraw = False
102.5177 	EXP 	grating: autoDraw = True
102.8180 	EXP 	grating: autoDraw = False
103.1278 	EXP 	New trial (rep=47, index=0): None
103.1325 	DATA 	Keypress: up
103.1356 	EXP 	fixation: autoDraw = False
103.1356 	EXP 	grating: autoDraw = False
103.1356 	EXP 	grating: ori = 0.0
103.1356 	EXP 	fixation: autoDraw = True
104.1344 	EXP 	grating: autoDraw = True
104.1508 	EXP 	fixation: autoDraw = False
104.4338 	EXP 	grating: autoDraw = False
104.4741 	EXP 	New trial (rep=48, index=0): None
104.4766 	DATA 	Keypress: up
104.4839 	EXP 	fixation: autoDraw = False
104.4839 	EXP 	grating: autoDraw = False
104.4839 	EXP 	grating: ori = 0.0
104.4839 	EXP 	fixation: autoDraw = True
105.4840 	EXP 	fixation: autoDraw = False
105.4840 	EXP 	grating: autoDraw = True
105.7837 	EXP 	grating: autoDraw = False
105.8092 	EXP 	New trial (rep=49, index=0): None
105.8127 	DATA 	Keypress: up
105.8173 	EXP 	fixation: autoDraw = False
105.8173 	EXP 	grating: autoDraw = False
105.8173 	EXP 	grating: ori = 0.0
105.8173 	EXP 	fixation: autoDraw = True
106.8169 	EXP 	fixation: autoDraw = False
106.8169 	EXP 	grating: autoDraw = True
107.1165 	EXP 	grating: autoDraw = False
107.3867 	DATA 	Keypress: up
107.4067 	EXP 	New trial (rep=50, index=0): None
107.4167 	EXP 	fixation: autoDraw = False
107.4167 	EXP 	grating: autoDraw = False
107.4167 	EXP 	grating: ori = -1.0
107.4167 	EXP 	fixation: autoDraw = True
108.4166 	EXP 	fixation: autoDraw = False
108.4166 	EXP 	grating: autoDraw = True
108.7161 	EXP 	grating: autoDraw = False
108.8382 	EXP 	New trial (rep=51, index=0): None
108.8409 	DATA 	Keypress: up
108.8496 	EXP 	fixation: autoDraw = False
108.8496 	EXP 	grating: autoDraw = False
108.8496 	EXP 	grating: ori = -4.0
108.8496 	EXP 	fixation: autoDraw = True
109.8493 	EXP 	fixation: autoDraw = False
109.8493 	EXP 	grating: autoDraw = True
110.1492 	EXP 	grating: autoDraw = False
110.1883 	EXP 	New trial (rep=52, index=0): None
110.1905 	DATA 	Keypress: up
110.1992 	EXP 	fixation: autoDraw = False
110.1992 	EXP 	grating: autoDraw = False
110.1992 	EXP 	grating: ori = 0.0
110.1992 	EXP 	fixation: autoDraw = True
111.1990 	EXP 	fixation: autoDraw = False
111.1990 	EXP 	grating: autoDraw = True
111.4990 	EXP 	grating: autoDraw = False
111.9566 	EXP 	New trial (rep=53, index=0): None
111.9587 	DATA 	Keypress: down
111.9657 	EXP 	fixation: autoDraw = False
111.9657 	EXP 	grating: autoDraw = False
111.9657 	EXP 	grating: ori = -3.0
111.9657 	EXP 	fixation: autoDraw = True
112.9654 	EXP 	fixation: autoDraw = False
112.9654 	EXP 	grating: autoDraw = True
113.2652 	EXP 	grating: autoDraw = False
113.4562 	EXP 	New trial (rep=54, index=0): None
113.4597 	DATA 	Keypress: up
113.4651 	EXP 	fixation: autoDraw = False
113.4651 	EXP 	grating: autoDraw = False
113.4651 	EXP 	grating: ori = -1.0
113.4651 	EXP 	fixation: autoDraw = True
114.4651 	EXP 	fixation: autoDraw = False
114.4651 	EXP 	grating: autoDraw = True
114.7649 	EXP 	grating: autoDraw = False
114.8583 	EXP 	New trial (rep=55, index=0): None
114.8623 	DATA 	Keypress: up
114.8651 	EXP 	fixation: autoDraw = False
114.8651 	EXP 	grating: autoDraw = False
114.8651 	EXP 	grating: ori = -5.0
114.8651 	EXP 	fixation: autoDraw = True
115.8646 	EXP 	fixation: autoDraw = False
115.8646 	EXP 	grating: autoDraw = True
116.1644 	EXP 	grating: autoDraw = False
116.3201 	EXP 	New trial (rep=56, index=0): None
116.3222 	DATA 	Keypress: down
116.3310 	EXP 	fixation: autoDraw = False
116.3310 	EXP 	grating: autoDraw = False
116.3310 	EXP 	grating: ori = 1.0
116.3310 	EXP 	fixation: autoDraw = True
117.3313 	EXP 	fixation: autoDraw = False
117.3313 	EXP 	grating: autoDraw = True
117.6307 	EXP 	grating: autoDraw = False
117.6841 	EXP 	New trial (rep=57, index=0): None
117.6859 	DATA 	Keypress: up
117.6974 	EXP 	fixation: autoDraw = False
117.6974 	EXP 	grating: autoDraw = False
117.6974 	EXP 	grating: ori = 0.0
117.6974 	EXP 	fixation: autoDraw = True
118.6972 	EXP 	fixation: autoDraw = False
118.6972 	EXP 	grating: autoDraw = True
118.9972 	EXP 	grating: autoDraw = False
119.8364 	EXP 	New trial (rep=58, index=0): None
119.8388 	DATA 	Keypress: up
119.8469 	EXP 	fixation: autoDraw = False
119.8469 	EXP 	grating: autoDraw = False
119.8469 	EXP 	grating: ori = 0.0
119.8469 	EXP 	fixation: autoDraw = True
120.8472 	EXP 	fixation: autoDraw = False
120.8472 	EXP 	grating: autoDraw = True
121.1467 	EXP 	grating: autoDraw = False
121.2831 	DATA 	Keypress: up
121.3047 	EXP 	New trial (rep=59, index=0): None
121.3134 	EXP 	fixation: autoDraw = False
121.3134 	EXP 	grating: autoDraw = False
121.3134 	EXP 	grating: ori = -4.0
121.3134 	EXP 	fixation: autoDraw = True
122.3133 	EXP 	fixation: autoDraw = False
122.3133 	EXP 	grating: autoDraw = True
122.6132 	EXP 	grating: autoDraw = False
122.7053 	EXP 	New trial (rep=60, index=0): None
122.7087 	DATA 	Keypress: up
122.7131 	EXP 	fixation: autoDraw = False
122.7131 	EXP 	grating: autoDraw = False
122.7131 	EXP 	grating: ori = 0.0
122.7131 	EXP 	fixation: autoDraw = True
123.7128 	EXP 	fixation: autoDraw = False
123.7128 	EXP 	grating: autoDraw = True
124.0125 	EXP 	grating: autoDraw = False
124.0543 	EXP 	New trial (rep=61, index=0): None
124.0567 	DATA 	Keypress: down
124.0626 	EXP 	fixation: autoDraw = False
124.0626 	EXP 	grating: autoDraw = False
124.0626 	EXP 	grating: ori = 3.0
124.0626 	EXP 	fixation: autoDraw = True
125.0625 	EXP 	fixation: autoDraw = False
